sequence,seq_type,method,pair,baseline_idx,ratio,num_matches,num_correct,num_ground_truth
i_books,illumination,orb,1_5,5,0.9,1253,1000,1597
i_books,illumination,orb,1_5,5,0.95,1523,1058,1597
i_books,illumination,orb,1_5,5,0.99,1845,1099,1597
i_books,illumination,orb,1_6,6,0.5,851,849,1727
i_books,illumination,orb,1_6,6,0.55,915,913,1727
i_books,illumination,orb,1_6,6,0.6,969,965,1727
i_books,illumination,orb,1_6,6,0.65,1022,1017,1727
i_books,illumination,orb,1_6,6,0.7,1079,1070,1727
i_books,illumination,orb,1_6,6,0.75,1141,1121,1727
i_books,illumination,orb,1_6,6,0.8,1210,1169,1727
i_books,illumination,orb,1_6,6,0.85,1301,1221,1727
i_books,illumination,orb,1_6,6,0.9,1414,1268,1727
i_books,illumination,orb,1_6,6,0.95,1597,1317,1727
i_books,illumination,orb,1_6,6,0.99,1861,1362,1727
i_boutique,illumination,sift,1_2,2,0.5,507,490,2318
i_boutique,illumination,sift,1_2,2,0.55,605,578,2318
i_boutique,illumination,sift,1_2,2,0.6,712,659,2318
i_boutique,illumination,sift,1_2,2,0.65,811,735,2318
i_boutique,illumination,sift,1_2,2,0.7,921,810,2318
i_boutique,illumination,sift,1_2,2,0.75,1059,879,2318
i_boutique,illumination,sift,1_2,2,0.8,1214,939,2318
i_boutique,illumination,sift,1_2,2,0.85,1448,1004,2318
i_boutique,illumination,sift,1_2,2,0.9,1840,1076,2318
i_boutique,illumination,sift,1_2,2,0.95,2510,1133,2318
i_boutique,illumination,sift,1_2,2,0.99,3479,1205,2318
i_boutique,illumination,sift,1_3,3,0.5,112,106,1822
i_boutique,illumination,sift,1_3,3,0.55,164,155,1822
i_boutique,illumination,sift,1_3,3,0.6,215,198,1822
i_boutique,illumination,sift,1_3,3,0.65,268,239,1822
i_boutique,illumination,sift,1_3,3,0.7,335,293,1822
i_boutique,illumination,sift,1_3,3,0.75,433,348,1822
i_boutique,illumination,sift,1_3,3,0.8,572,395,1822
i_boutique,illumination,sift,1_3,3,0.85,829,455,1822
i_boutique,illumination,sift,1_3,3,0.9,1277,518,1822
i_boutique,illumination,sift,1_3,3,0.95,2144,580,1822
