sequence,seq_type,method,pair,baseline_idx,num_kp1,num_kp2,num_matches,time_sec,correct_at_1px,num_ground_truth_at_1px,precision_at_1px,recall_at_1px,correct_at_2px,num_ground_truth_at_2px,precision_at_2px,recall_at_2px,correct_at_3px,num_ground_truth_at_3px,precision_at_3px,recall_at_3px,correct_at_5px,num_ground_truth_at_5px,precision_at_5px,recall_at_5px,correct_at_10px,num_ground_truth_at_10px,precision_at_10px,recall_at_10px
v_artisans,viewpoint,sift,1_2,2,17804,5434,2032,5.01320595741272,1661,2560,0.8174212598425197,0.648828125,1942,4287,0.9557086614173228,0.4529974341031024,1957,6927,0.9630905511811023,0.28251768442327124,1963,12259,0.9660433070866141,0.16012725344644752,1968,17380,0.968503937007874,0.11323360184119678
v_artisans,viewpoint,sift,1_3,3,17804,6046,1864,5.01320595741272,1066,2232,0.5718884120171673,0.4775985663082437,1675,4506,0.8986051502145923,0.3717265867731913,1780,7119,0.9549356223175965,0.2500351172917545,1791,12091,0.9608369098712446,0.148126705814242,1796,17227,0.9635193133047211,0.10425494862715505
v_artisans,viewpoint,sift,1_4,4,17804,6767,2958,5.01320595741272,2055,2973,0.6947261663286004,0.6912209889001009,2813,4693,0.9509803921568627,0.599403366716386,2869,6234,0.9699121027721433,0.46021815848572345,2886,9651,0.9756592292089249,0.2990363692881567,2891,12781,0.9773495605138607,0.22619513340114233
v_artisans,viewpoint,sift,1_5,5,17804,4367,449,5.01320595741272,108,634,0.24053452115812918,0.17034700315457413,268,1592,0.5968819599109132,0.16834170854271358,318,2559,0.7082405345211581,0.1242672919109027,354,4613,0.7884187082405345,0.07673964881855626,366,7518,0.8151447661469933,0.04868316041500399
v_artisans,viewpoint,sift,1_6,6,17804,5469,2315,5.01320595741272,2190,2745,0.9460043196544277,0.7978142076502732,2236,3732,0.9658747300215983,0.5991425509110396,2243,5740,0.9688984881209504,0.3907665505226481,2248,9825,0.9710583153347733,0.22880407124681934,2250,13541,0.9719222462203023,0.16616202643822464
v_artisans,viewpoint,orb,1_2,2,2000,2000,254,0.2718490123748779,141,693,0.5551181102362205,0.20346320346320346,233,1132,0.9173228346456693,0.2058303886925795,243,1278,0.9566929133858267,0.19014084507042253,245,1383,0.9645669291338582,0.17715112075198844,246,1492,0.968503937007874,0.1648793565683646
v_artisans,viewpoint,orb,1_3,3,2000,2000,156,0.2718490123748779,80,641,0.5128205128205128,0.12480499219968799,131,1000,0.8397435897435898,0.131,145,1122,0.9294871794871795,0.12923351158645277,148,1234,0.9487179487179487,0.11993517017828201,149,1376,0.9551282051282052,0.10828488372093023
v_artisans,viewpoint,orb,1_4,4,2000,2000,371,0.2718490123748779,148,774,0.39892183288409705,0.19121447028423771,310,1167,0.8355795148247979,0.2656383890317052,344,1291,0.9272237196765498,0.2664601084430674,359,1379,0.967654986522911,0.26033357505438726,361,1536,0.9730458221024259,0.23502604166666666
v_artisans,viewpoint,orb,1_5,5,2000,2000,31,0.2718490123748779,2,95,0.06451612903225806,0.021052631578947368,7,210,0.22580645161290322,0.03333333333333333,17,305,0.5483870967741935,0.05573770491803279,20,380,0.6451612903225806,0.05263157894736842,21,449,0.6774193548387096,0.0467706013363029
v_artisans,viewpoint,orb,1_6,6,2000,2000,330,0.2718490123748779,214,756,0.6484848484848484,0.2830687830687831,303,1076,0.9181818181818182,0.2815985130111524,313,1177,0.9484848484848485,0.2659303313508921,318,1277,0.9636363636363636,0.2490211433046202,318,1430,0.9636363636363636,0.22237762237762237
